movieID,title,year,ratingIMDB,votes,genresIMDB,tconst
m0,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
m1,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
m2,15 minutes,2001.0,6.1,25854.0,['action' 'crime' 'drama' 'thriller'],tt0179626
m3,2001: a space odyssey,1968.0,8.4,163227.0,['adventure' 'mystery' 'sci-fi'],tt0062622
m4,48 hrs.,1982.0,6.9,22289.0,['action' 'comedy' 'crime' 'drama' 'thriller'],tt0083511
m5,the fifth element,1997.0,7.5,133756.0,['action' 'adventure' 'romance' 'sci-fi' 'thriller'],tt0119116
m6,8mm,1999.0,6.3,48212.0,['crime' 'mystery' 'thriller'],tt0134273
m7,a nightmare on elm street 4: the dream master,1988.0,5.2,13590.0,['fantasy' 'horror' 'thriller'],tt0095742
m8,a nightmare on elm street: the dream child,1989.0,4.7,11092.0,['fantasy' 'horror' 'thriller'],tt0097981
m9,the atomic submarine,1959.0,4.9,513.0,['sci-fi' 'thriller'],tt0052587
m10,affliction,1997.0,6.9,7252.0,['drama' 'mystery' 'thriller'],tt0118564
m11,air force one,1997.0,6.3,61978.0,['action' 'drama' 'thriller'],tt0118571
m12,airplane ii: the sequel,1982.0,5.8,15210.0,['comedy' 'romance' 'sci-fi'],tt0083530
m13,airplane!,1980.0,7.8,57692.0,['comedy' 'romance'],tt0080339
m14,alien nation,1988.0,6.1,5590.0,['crime' 'drama' 'sci-fi' 'thriller'],tt0094631
m15,aliens,1986.0,8.5,173518.0,['action' 'sci-fi' 'thriller'],tt0090605
m16,amadeus,1984.0,8.4,99138.0,['biography' 'drama' 'music'],tt0086879
m17,an american werewolf in london,1981.0,7.5,24443.0,['horror' 'romance'],tt0082010
m18,american madness,1932.0,7.4,702.0,['drama'],tt0022626
m19,american outlaws,2001.0,5.7,7425.0,['action' 'western'],tt0244000
m20,american psycho,2000.0,7.4,101357.0,['drama' 'thriller'],tt0144084
m21,antitrust,2001.0,6.0,16453.0,['drama' 'thriller'],tt0218817
m22,austin powers: international man of mystery,1997.0,7.1,75240.0,['action' 'adventure' 'comedy' 'crime'],tt0118655
m23,the avengers,1998.0,3.4,21519.0,['action' 'adventure' 'thriller'],tt0118661
m24,bachelor party,1984.0,5.9,14050.0,['comedy' 'romance'],tt0086927
m25,backdraft,1991.0,6.6,28541.0,['action' 'crime' 'drama' 'mystery' 'thriller'],tt0101393
m26,bad lieutenant,1992.0,6.9,13908.0,['crime' 'drama'],tt0103759
m27,bamboozled,2000.0,6.3,5995.0,['comedy' 'drama' 'music'],tt0215545
