charID,charName,movieID,movieName,gender,position_in_credits,title,year,ratingIMDB,votes,genresIMDB,tconst
u0,BIANCA,m0,10 things i hate about you,f,4,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
u1,BRUCE,m0,10 things i hate about you,?,?,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
u2,CAMERON,m0,10 things i hate about you,m,3,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
u3,CHASTITY,m0,10 things i hate about you,?,?,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
u4,JOEY,m0,10 things i hate about you,m,6,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
u5,KAT,m0,10 things i hate about you,f,2,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
u6,MANDELLA,m0,10 things i hate about you,f,7,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
u7,MICHAEL,m0,10 things i hate about you,m,5,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
u8,MISS PERKY,m0,10 things i hate about you,?,?,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
u9,PATRICK,m0,10 things i hate about you,m,1,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
u10,SHARON,m0,10 things i hate about you,?,?,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
u11,WALTER,m0,10 things i hate about you,m,9,10 things i hate about you,1999.0,6.9,62847.0,['comedy' 'romance'],tt0147800
u12,ALONSO,m1,1492: conquest of paradise,?,?,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u13,AROJAZ,m1,1492: conquest of paradise,?,?,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u14,BEATRIX,m1,1492: conquest of paradise,?,?,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u15,BOBADILLA,m1,1492: conquest of paradise,?,?,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u16,COLUMBUS,m1,1492: conquest of paradise,m,1,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u17,FERNANDO,m1,1492: conquest of paradise,?,?,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u18,ISABEL,m1,1492: conquest of paradise,?,?,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u19,MARCHENA,m1,1492: conquest of paradise,m,6,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u20,MENDEZ,m1,1492: conquest of paradise,?,?,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u21,MOXICA,m1,1492: conquest of paradise,?,?,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u22,PINZON,m1,1492: conquest of paradise,?,?,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u23,SAILOR,m1,1492: conquest of paradise,?,?,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u24,SANCHEZ,m1,1492: conquest of paradise,?,?,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u25,UTAPAN,m1,1492: conquest of paradise,?,?,1492: conquest of paradise,1992.0,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594
u26,CUTLER,m2,15 minutes,m,?,15 minutes,2001.0,6.1,25854.0,['action' 'crime' 'drama' 'thriller'],tt0179626
u27,DAPHNE,m2,15 minutes,f,8,15 minutes,2001.0,6.1,25854.0,['action' 'crime' 'drama' 'thriller'],tt0179626
u28,DUFFY,m2,15 minutes,?,?,15 minutes,2001.0,6.1,25854.0,['action' 'crime' 'drama' 'thriller'],tt0179626
u29,EDDIE,m2,15 minutes,m,1,15 minutes,2001.0,6.1,25854.0,['action' 'crime' 'drama' 'thriller'],tt0179626
u30,EMIL,m2,15 minutes,m,6,15 minutes,2001.0,6.1,25854.0,['action' 'crime' 'drama' 'thriller'],tt0179626
u31,HAWKINS,m2,15 minutes,?,?,15 minutes,2001.0,6.1,25854.0,['action' 'crime' 'drama' 'thriller'],tt0179626
